id,city,avg_cost,population,other
120,Pedreira,73.5711205,920355,-11.3019
121,Kondrovo,74.2140418,204426,9.22534
122,Ndago,78.6616283,358749,6.49442
123,Isla Pucú,56.9269277,938527,6.46302
124,Ibirité,81.2719839,431415,14.48404
125,Saño,38.5558464,292742,7.54007
126,Kaiyuan,45.5849999,768330,-6.52124
127,Shixian,13.9313077,815878,-20.94338
128,Pengxing,2.2916828,740998,19.807
129,Yono,8.2616024,615268,15.08523
130,Garbolovo,25.8698826,692661,-8.11244
131,Calango,16.0325221,42712,19.59365
132,Gondifelos,58.597887,170955,7.67143
133,Choushui,80.7823187,737856,0.91077
134,Bajia,70.3075908,587612,-1.91328
135,Mó,23.0512882,161977,-15.90716
136,Reims,18.1350371,889596,-18.06048
137,Taihe,48.049872,706376,-5.88312
138,Cova da Iria,67.3348001,449325,-5.69939
139,Rudnichnyy,8.2026334,443644,-8.39834
140,Monteros,71.1578872,88844,0.28199
141,Kabulusan,58.770707,87570,0.21514
142,Linchen,6.7432322,72632,-11.45776
143,Viljoenskroon,5.4822624,530941,6.56972
144,Aanislag,30.7010314,367745,21.32092
145,Tochigi,7.3826213,357510,-19.80952
146,Ivatsevichy,44.2420822,719650,20.54609
147,Boucinhas,52.5695263,167035,13.04584
148,Caen,50.0681869,475200,3.09582
149,Huayang,83.8231806,341745,-15.20275
150,Lwengo,98.858504,708140,-1.50958
151,Dzwola,98.3247813,196650,13.87483
152,Kuala Terengganu,61.7476434,203172,-23.47706
153,Kariaí,23.3480197,722235,-2.40453
154,Orikhiv,88.8265689,995315,-24.33713
155,Joutsa,30.490562,172164,-18.50276
156,Nanyang,30.5495339,978522,9.715
157,Kepahiang,37.0606546,232548,9.57276
158,Kozje,38.1184247,784868,11.6353
159,Gorno Orizari,32.8824364,620703,-18.89753
160,Artsvaberd,49.6196758,795599,22.45946
161,Shuangyuan,56.4593995,161552,-24.23705
162,Ezhou,12.8493956,449918,-5.21183
163,Ust’-Isha,25.8060279,617084,-14.80231
164,Mahdia,50.7584275,367146,-2.31826
165,Georgiyevsk,18.9330691,885401,-0.63599
166,Ķegums,90.5616574,913275,-6.88274
167,Kubang,2.1064361,752127,-13.31411
168,Perm,51.0944442,595930,-17.13725
169,Naze,1.9521798,154670,-9.50414
170,Ponong,50.8405319,141379,-7.18069
171,Corbeil-Essonnes,94.3707884,803261,3.96153
172,Dasheng,68.9511017,844323,-4.06277
173,Liupai,9.3567638,481333,-24.07956
174,Aachen,74.2145544,403672,-5.58642
175,Minamata,38.068239,72423,-1.10254
176,Vichuga,78.2876213,338109,11.33038
177,Babantar,64.0180985,262332,-11.66052
178,Polje,22.5468303,198188,14.52518
179,Caluya,8.252756,897468,-13.05304
180,Quintão,21.3428528,648572,15.33419
181,Altavista,32.7100143,727519,3.08245
182,Changchi,73.6118382,960320,4.27322
183,Bealanana,84.6340814,213943,24.77736
184,Jurangjero,42.7187477,147511,-12.16721
185,La Gi,26.3385114,90615,-12.11109
186,Severomorsk,24.7626121,551988,-10.91907
187,Iogach,95.4100926,991723,22.14111
188,Campechuela,94.4951515,35659,8.59525
189,Tonggu,84.5077196,265377,-20.85634
190,Pujijie,81.15986,318159,-19.60118
191,Kovernino,74.2912888,447386,-17.2862
192,Tangzha,63.6307246,587297,10.4633
193,Novoukrayinka,39.4051031,231882,-17.67357
194,Concordia,84.1577934,458110,19.8536
195,Naili,34.1923432,901083,8.72305
196,Cagwait,82.800769,904746,-5.50908
197,Qingshandi,99.7480647,403116,-1.49314
198,Cornillon,64.3279701,142062,-24.94752
199,Uyen Hung,79.7268841,191929,-7.57587
200,Rudnyy,28.4202413,70756,-24.54292
201,Balatero,83.304383,684389,14.12066
202,Santa Cruz das Palmeiras,92.3640777,393477,14.31316
203,Canchayllo,64.8536174,566648,-9.39117
204,Nezhinka,77.0553048,822579,12.77521
205,Łękawica,76.5305628,684716,20.83774
206,Dmytrivka,33.2284432,999093,-1.08957
207,Buarcos,88.5834361,774767,22.58097
208,Ouanaminthe,44.5108983,839464,-22.24435
209,Cuauhtemoc,80.8348315,244648,-12.03168
210,Paipu,14.7510526,301453,13.24481
211,Kirkland Lake,12.9062359,635436,-4.0008
212,Santa Rosa del Sara,38.8354069,243457,-20.12577
213,Nagaoka,80.3902326,964065,10.11051
214,Luzon,52.3787794,181105,-5.40664
215,Blahodatne,57.1169843,771343,-18.28793
216,Yuza,30.7466257,621113,0.46109
217,Roshnik,46.8931126,274011,-2.76576
218,Donglai,35.4754164,203823,12.51013
219,Nagaracinta,52.1059092,443227,-24.87558
220,Patimuan,78.8757995,404842,2.94135
221,Datong,49.2079876,314020,4.29522
222,Sembungan Kidul,32.9500169,537281,-23.40634
223,Del Rosario,9.778464,173046,-1.10143
224,Itabaiana,30.8781522,983225,-1.08793
225,Hongjiang,55.1225318,790411,-8.31562
226,Kosti,11.6411731,67154,7.58228
227,Yuxi,78.2088585,555308,-19.0051
228,San Fernando,75.3621701,531343,18.3873
229,Xiyang,88.4072874,850662,20.43206
230,Sanying,21.9508843,807832,0.42591
231,Cruzeiro,15.126938,97117,-12.41903
232,Abuochiche,47.0729947,987367,11.27179
233,Gadzhiyevo,27.8212456,72042,0.07395
234,Mmathubudukwane,83.0165968,149775,15.43233
235,Ōkuchi,90.5440623,199334,-10.94364
236,Khŭjand,12.1716462,667643,8.24979
237,Singida,47.104418,716799,-1.49788
238,Chatian,33.9468929,707159,-22.07442
239,Guay,40.9754702,986146,14.57035
240,Bayt Līd,28.2089978,188244,-7.73562
241,Manggissari,93.4774852,816856,11.43434
242,Baiyin,87.1976393,179409,-19.8051
243,Nanzhihui,42.6121495,379290,19.92216
244,Falun,49.4314619,657659,2.99648
245,Olovyannaya,88.3242013,166747,-1.56154
246,Podbuzh,11.1385289,527493,-18.53533
247,Shawnee Mission,62.2605538,59895,17.4886
248,Zhangdiyingzi,46.2335651,339659,10.43015
249,Dashiren,67.9891903,641161,2.92915
250,Fantan,72.3931779,804569,-18.04449
251,Tekes,53.4231282,412222,-16.73537
252,Hengshan,84.664435,937891,-9.87041
253,Pakkat,81.7399013,403423,23.57042
254,København,63.920192,256933,10.12816
255,Loutrós,16.2796235,31649,-15.53671
256,Murcia,21.0907477,311372,20.78037
257,Wanying,37.7236939,608943,-6.61475
258,Lebedyn,57.7440432,362174,23.91702
259,Vũ Thư,18.2054534,458441,10.88004
260,Nkurenkuru,52.7856917,628079,18.10567
261,Aldeia do Bispo,40.9455042,991103,-22.95747
262,Chacapalpa,53.8539575,567194,3.03573
263,Águas de Lindóia,16.230945,404961,-15.42106
264,Boquira,81.8959952,764267,-1.02097
265,Laleng,22.2100196,278035,9.8493
266,La Plaine-Saint-Denis,5.9761778,900025,5.7434
267,Pai do Vento,5.9132203,466959,-13.2348
268,Tunzhai,69.5719817,261805,4.82124
269,Kungur,89.9861343,172512,2.61702
270,Duru,9.0909291,701507,12.47574
271,Xinpo,5.2753881,808235,9.72496
272,Sorang,84.2739475,603137,-23.99165
273,Kute,86.5040524,78433,-22.93683
274,Uruzgān,58.6200711,710235,17.05413
275,Forquilhinha,50.75665,528177,5.1943
276,Plužine,22.4444544,797941,2.8669
277,Forquilhinha,65.2481075,479790,-8.1686
278,San Marcos,69.7863917,399777,3.11036
279,Kameoka,68.3025853,122174,-5.08052
280,Bella Unión,65.4208159,603671,3.16124
281,Loanda,1.5823395,638202,13.50588
282,Soanierana Ivongo,19.261578,294617,15.43578
283,Cabanaconde,95.1691387,282985,21.37466
284,Qingzhou,18.7763981,933715,12.86099
285,Kembangan,12.7571418,804761,11.83848
286,Xicheng,32.0299154,130473,10.62105
287,Jinniu,20.9314608,135075,-8.44012
288,Kurkino,55.7656198,616906,-20.92576
289,Congonhas,42.853464,942515,-8.87008
290,Huancapallac,96.1825544,98858,17.94986
291,Pancas,40.7663116,759256,11.00701
292,Al Buţayḩah,94.5452811,101447,23.02791
293,Mastung,11.3691199,331148,-15.07599
294,Laironja,10.0527843,333736,-15.53453
295,Aryiropoúlion,51.9649219,605105,-21.32352
296,Grabów nad Prosną,33.2434159,893389,5.96923
297,Lojejerkrajan,84.1802566,682870,13.9198
298,Nybro,54.9720524,585938,-6.5706
299,Västervik,84.2698541,215338,12.46535
300,Qarah Bāgh Bāzār,39.5323639,476730,15.79337
301,Steblevë,81.7507687,73980,-16.65675
302,Aparecida do Taboado,7.0985718,206159,22.354
303,Karangmulyo,27.2677318,577059,-22.19083
304,Qiting,47.6945249,777845,-22.1117
305,Wenfeng Zhen,40.097212,775265,-19.05194
306,Mporokoso,54.4458845,377924,-16.1756
307,Chirkey,59.8265076,336213,-21.04624
308,Marne-la-Vallée,78.2597353,928161,7.86948
309,Oula Xiuma,28.5237261,781579,-18.25249
310,Zelenodolsk,51.4070581,740623,-10.02143
311,Niuzhuang,82.8115353,442829,-16.29082
312,Fanyang,10.3658785,876210,-18.56412
313,Choibalsan,40.4599881,211985,20.36287
314,Zhongzi,75.5359854,755306,1.52655
315,Kekeri,14.8357946,804333,-6.68503
316,Xekar,63.0983035,653598,-20.79627
317,Krajan,16.0934807,866596,24.86099
318,Kanie,39.3900555,289358,-0.10366
319,Ravne na Koroškem,93.5308838,417503,-14.59122
320,Itabaiana,24.3667103,716929,-24.45509
321,Yuezhao,61.1400815,106098,3.89247
322,Famagusta,15.3111065,319120,-14.92875
323,Oleszyce,42.7354941,954890,9.97881
324,Lauro de Freitas,68.1093031,877943,11.55603
325,Sarnów,35.2893223,905749,-22.6267
326,Chợ Mới,15.5702256,573754,4.17916
327,Tipo-Tipo,59.3659236,894510,-17.69101
328,Färjestaden,60.67769,700917,20.76525
329,Wanglian,25.3933208,297222,9.06287
330,Yambrasbamba,64.3838859,160061,-17.05911
331,Liuji,44.6030214,469222,12.08932
332,Nagua,21.6487048,163018,12.32362
333,Rača,3.4683842,488028,0.24957
334,Nalsian Norte,97.7443412,284436,21.02357
335,Radès,76.6908004,960638,12.83867
336,Élancourt,76.674697,260518,-19.63132
337,Idfu,54.4673277,994589,-9.1518
338,Machachi,37.7484048,691714,19.08764
339,Raoyang,3.6786956,298998,-5.46556
340,Purwodadi,11.0521981,816917,8.75847
341,Sines,90.9918935,45774,-16.15719
342,Rio Novo do Sul,37.0344886,58951,16.92848
343,Xianshuigu,37.6402945,894524,9.05225
344,Yingchun,50.3156136,579858,14.94923
345,Jargalant,34.3104301,872373,23.31292
346,Pasirhuni,44.2936654,974642,1.43519
347,Milove,30.433991,498333,6.05262
348,Ghayl Bā Wazīr,99.9903325,506403,7.69041
349,Grekan,81.0603754,141277,-10.68864
350,Helong,32.7421638,305709,9.85397
351,Torrance,40.8376535,380587,-0.58863
352,Puolanka,55.6805937,626662,12.66273
353,Santa Cruz,63.7148925,924475,6.49774
354,Puhechang,21.4078517,282518,23.70312
355,Boca Raton,65.8796996,614221,22.86802
356,Colca,40.1968382,986974,-7.97164
357,Samut Prakan,47.2735963,700812,-17.1246
358,Huangbayi,68.7543578,883711,-7.12477
359,Jepuro,43.9526605,339944,15.5598
360,Saint-Maurice-l'Exil,56.035542,938254,13.49394
361,Verona,27.1365654,885676,23.42994
362,Citambal,31.3367969,477897,1.79222
363,Krasnofarfornyy,18.2910944,722405,-18.27914
364,Goroka,32.3092551,33006,10.73354
365,Quintas,78.2868013,384377,-4.19701
366,Tournon-sur-Rhône,80.9639277,263661,-12.33124
367,Ipiales,46.6355572,220251,3.15062
368,Sukaraharja,92.0869917,562673,7.32387
369,Andradas,72.1049513,113172,1.05283
370,Alabat,91.5882176,457298,21.0423
371,Cimahi,75.0426499,737082,-1.2642
372,Seredyna-Buda,35.0038747,314357,-15.30554
373,Onguday,5.2374674,424214,6.45104
374,Borehbangle,77.7876019,473451,-24.41401
375,Büzmeýin,81.5467671,458185,-16.65328
376,Valle de La Pascua,38.8229367,518223,10.44738
377,Norrköping,77.1003153,110786,6.34008
378,Socorro,6.9469943,98736,-16.40999
379,La Luz,2.1924504,447437,-4.9254
380,Desa Werasari,21.5840559,404237,-23.86906
381,Pinyug,51.6277285,547443,-5.58309
382,Fredericton,78.2118381,582783,15.18337
383,Aguas del Padre,22.0596421,826147,24.53577
384,Nyaunglebin,47.0679149,606426,-23.11634
385,Stěbořice,31.5096035,764272,-8.69166
386,Werinama,45.9858326,919976,6.86982
387,Krajan Alasdowo,16.3403878,170883,4.75897
388,Guanting,5.4097194,408039,13.65642
389,Hovtashen,56.8384596,722076,-0.62829
390,Lueng Putu,83.8387537,463187,-14.50125
391,Zelenogradsk,30.3587722,315521,-21.50265
392,Ulcinj,41.9700198,708819,-7.41039
393,Carvalhal,38.6427135,238058,10.49582
394,Banjar Kelodan,26.4808195,283072,-14.42482
395,La Rioja,27.4717515,876861,19.54517
396,Murmashi,18.0171206,196399,11.24527
397,Palmital,51.6465444,794751,-4.28766
398,Siquanpu,80.4277433,149451,-14.78704
399,Collingwood,98.7925714,261030,-12.30336
400,San Pedro,35.761236,873363,-8.13259
401,Jingdang,7.2299274,303717,-10.22382
402,Fenoarivo Be,22.6321965,565929,14.20979
403,Gulyantsi,2.2250667,242633,-6.42214
404,Maythalūn,34.1335926,93067,-5.05944
405,Amarete,37.2826159,550605,-13.04452
406,Bến Tre,55.4850625,864740,15.31557
407,Ayacucho,39.8296612,851174,13.50983
408,Izumi,4.7039649,28216,-7.09689
409,Nikísiani,8.1210166,539960,-0.32507
410,Troyes,31.4226949,710476,-17.76318
411,Si Satchanalai,44.5652369,661676,-15.3294
412,Dziewin,53.751053,393876,17.63018
413,Kubachi,1.4551808,172236,-1.24513
414,Heping,97.3151608,147337,-17.23057
415,Poddębice,94.9774843,681693,12.58166
416,Gaoyi,20.0738222,276328,-18.38064
417,Nacka,38.796317,379691,4.7803
418,Jiefangyan,80.2768576,50159,3.27357
419,Americana,68.6685006,560494,9.84044
420,Mangkon Daja,11.8981445,629511,2.93816
421,Novozavedennoye,31.5773442,179265,-5.28063
422,Lyon,35.5708199,397168,8.60009
423,Benjamin Constant,55.2883611,659337,-11.40604
424,Pingpo,76.0745178,722889,5.15103
425,Fradelos,48.9550518,252931,14.81235
426,Lorient,75.9128399,275830,-8.20535
427,Viengxay,41.5122973,641978,7.12983
428,Lakha Nëvre,84.6764263,500886,-20.32323
429,Kota Trieng,35.9316627,357540,-0.7393
430,Stryszów,79.1794862,131498,-7.33479
431,Mertert,31.4711963,940839,7.71427
432,Manggis,38.2881135,229995,-10.00635
433,Miyata,94.5497777,622214,6.32294
434,Eira da Pedra,10.4263026,107404,12.45302
435,Gouyan,9.5524401,267367,-10.32619
436,Pljevlja,86.0818863,153840,1.87223
437,Jincheng,22.7398732,612048,-10.11032
438,Lapa do Lobo,51.7725041,832484,-15.40421
439,Tangchijie,56.8992738,668930,-11.09233
440,Avignon,12.992465,816856,-20.25717
441,Kota Kinabalu,7.0444111,210688,14.55496
442,Rabah,54.3431668,790689,-14.09943
443,Santo Amaro,23.6259749,42420,-12.78428
444,Sumy,60.0376198,449306,19.26445
445,Blaye,38.9552424,982083,-11.54817
446,Laibin,81.0946301,482343,-4.04688
447,Yetang,58.3188223,288536,-16.71457
448,Baguinge,94.7251111,990216,20.63807
449,Fenglin,90.9891512,96379,1.60326
450,Nabire,81.296384,427250,14.7199
451,Teresópolis,23.8518287,177550,-22.85494
452,Xuedian,30.3818599,415688,-22.47508
453,Ploso Wetan,71.2060316,355646,6.16914
454,Monjarás,2.6073198,131529,-14.66757
455,Baimiao,72.0126068,888479,-19.53222
456,Sukaraharja,58.5416738,355905,-20.33269
457,Kołbaskowo,34.9425654,291256,-2.99516
458,Shishan,18.6186931,65839,-11.82732
459,Bāglung,90.0917809,629494,18.16819
460,Bern,96.1225915,555612,3.98907
461,Ambarakaraka,42.029971,868006,13.21005
462,Pemba,68.5078355,701926,13.03227
463,Qianzhou,93.270391,455486,15.71145
464,Pushkino,3.6794241,529092,-13.45807
465,Ginatilan,81.0171739,648076,24.70542
466,Sleman,83.9586229,566442,-19.22231
467,Huaikan,31.1918873,628600,22.88854
468,Tojeira,41.8381066,120500,-17.53697
469,Akora,73.0152751,62048,-5.22374
470,Bartsrashen,1.2051842,737659,5.21218
471,Zaytā,56.9498518,744052,-11.00732
472,San Jose,39.5637546,398132,13.14597
473,Danchang,39.211839,775659,-2.51739
474,Dubova (Driloni),60.7323696,149198,-14.57847
475,Ivoti,14.9872013,306595,5.62326
476,Vsetín,70.2440403,499859,-13.62213
477,Gharyan,82.0562807,520480,2.16505
478,Changning,58.4900808,447004,-12.46038
479,Okinawa,87.6630612,983841,-23.04593
480,Créteil,35.9878644,733149,-16.18555
481,Binjiang,6.6694571,510205,7.06716
482,Cibogo,28.7138481,284449,17.4046
483,Margen,88.9399449,501601,9.69443
484,Nahiyat Ghammas,47.6572617,657922,3.96355
485,Tunggar,5.0731615,453474,4.20326
486,Ganjiangtou,37.1445981,850935,7.93242
487,Lingyuan,8.3678361,269444,-15.38844
488,Xingang,53.0676202,435380,-15.4352
489,Guiping,14.988071,215259,-9.3741
490,Huichang,6.3701213,517647,-1.89922
491,Veselynove,88.6150905,182136,-1.32218
492,Bayramaly,75.6662128,942594,6.47177
493,Charlottenberg,59.4302444,277407,10.85449
494,Piątnica,46.2974729,400727,22.78487
495,Okocim,79.9550997,358236,5.90108
496,Huazhai,74.5529471,425668,15.18302
497,Disina,17.3572086,760665,20.97063
498,Zemlyansk,56.3260988,199849,24.55148
499,Batulayang,45.8832305,885796,-2.22965
500,Shuangshan,2.0375001,470995,1.99913
501,Palekastro,67.1410204,346121,9.56146
502,Brangsi,64.6500339,471826,-18.74362
503,Al Qurḩ,89.4799068,777722,-3.81611
504,Hinvi,64.5567122,129579,9.18697
505,La Concordia,79.097972,350338,-12.69063
506,Sosnovyy Bor,44.7701948,572536,14.52324
507,Strellc i Ulët,14.702106,612568,8.4525
508,Kotabaru,16.1270992,111189,13.70325
509,Jabonga,90.9994908,145726,2.23715
510,Ar Ruḩaybah,94.0882295,171559,-22.51811
511,Stockholm,2.0244496,422965,21.37834
512,Almargem do Bispo,2.7571761,417699,-0.616
513,Ekazhevo,83.1180763,454888,-4.5202
514,Lotoshino,6.0888665,213778,-8.81871
515,Niederwaldkirchen,37.5072435,316311,3.64413
516,Zalanga,47.1167595,333954,18.92638
517,Tajike’abati,64.605143,301503,-9.58093
518,Oslo,21.928728,97217,-17.05967
519,Lanat,84.4586844,746392,1.40275
520,Balas,45.4810232,956719,6.06206
521,Pointe-à-Pitre,69.5209571,578400,19.33869
522,Changzhou,59.6659118,352324,-13.35092
523,Cartagena,65.8212754,198397,-0.30553
524,Leye,37.187054,514029,-11.65325
525,He’an,70.5842957,565107,-6.99509
526,Mojoroto,25.9516368,825803,-0.18856
527,Puerto Parra,48.864142,998380,6.93958
528,Kotabesi,90.2436239,707743,-8.82125
529,Wangchang,48.7442038,709235,-19.96139
530,Yakymivka,59.2583699,838800,-19.66167
531,Tinta,21.012578,579476,-1.35855
532,Ciilat,24.8520122,681237,-22.61957
533,Sremčica,90.6889874,284815,-5.61981
534,Lousado,58.1472641,509541,9.66316
535,Lansing,57.7281668,827771,1.86501
536,Shuinanxu,4.7783264,536549,13.76946
537,Tukan,67.9318451,870041,-7.46248
538,Trieste,59.2641274,32595,15.48668
539,Rybnoye,91.8731823,178857,18.62682
540,Chayuan,13.0116081,355509,3.28738
541,Spitak,78.8974652,930899,-10.83364
542,Cikuning,43.7522381,731950,19.21935
543,Chisht-e Sharīf,42.3821258,494370,21.77956
544,Karanggeneng,9.3254937,299992,-5.31592
545,Krajan Tambakrejo,35.674264,324241,18.49181
546,Nambak Tengah,59.7572734,330752,20.22555
547,Embu,43.6486049,298036,13.33463
548,Capas,95.6258387,320122,13.76157
549,Tangguhang,80.7823073,504972,14.77841
550,Lambangan Kulon,49.4336921,402495,-24.42724
551,Guanshan,8.1277083,695260,9.20404
552,Lidong,78.5384429,402468,3.93325
553,Kembang,54.5915868,443539,22.73186
554,Pucallpa,45.3345186,939889,-9.49928
555,Chroustovice,54.4829275,830244,-1.41181
556,Ajman,53.1698256,546063,-20.26752
557,Ciharalang,81.4158592,894520,8.83911
558,Novo Selo,24.7048655,663812,-7.70518
559,Chonchi,40.5033129,985644,5.80136
560,Alavus,56.3116613,485039,-15.73518
561,Pesagen,71.9307001,156288,14.57277
562,Cidahu,37.7726175,771678,-15.94999
563,Souto,89.0794551,92932,-20.82048
564,Kloangrotat,88.1923759,489842,-1.86332
565,Mancogeh,26.9608789,212314,-12.47757
566,Wrząsowice,56.6593504,689309,-1.7392
567,Iperó,30.202231,644383,-12.37773
568,Phu Kam Yao,40.0681688,569489,24.46692
569,Kosmonosy,52.4036743,131621,-17.09994
570,Imrīsh,7.2443346,120404,21.47169
571,Извор,40.9957081,629316,9.61835
572,Fengting,2.5041504,568258,-17.56329
573,Złotniki Kujawskie,4.9999904,158550,-1.43313
574,At-Bashi,94.8853358,107013,-10.62002
575,Göteborg,70.4613738,242478,18.43119
576,Daykitin,7.2967504,175811,-23.18568
577,Quebrada de Arena,2.9808355,601116,2.31628
578,Lomba,96.7684258,352129,16.98237
579,Gangou,72.0322244,614202,-17.99567
580,La Celia,24.798038,120166,17.08493
581,Limoges,82.1596463,913593,24.11395
582,Refojos,99.8245098,628498,6.90955
583,Shiyuan,36.1347374,833440,-18.59898
584,Semeljci,91.3845434,90095,9.91773
585,Dourbali,7.5830196,129524,-4.88434
586,Villa Santa Rosa,31.108137,834216,-8.38191
587,Kentville,46.7069287,802466,-18.97668
588,Shangjin,21.9507574,127661,-23.8472
589,Fuzhai,1.2115495,597033,-8.26447
590,Kajanan,54.5969145,339223,-13.12151
591,Nato,41.5511239,63196,-8.26788
592,Yengimahalla,99.9932898,682383,-23.19138
593,Tharyarwady,19.7122552,818910,24.54122
594,Tartu,28.1135194,342713,-16.37099
595,Haibara,96.3686092,290194,10.40496
596,Arjona,27.6442094,291129,-10.0645
597,Salacgrīva,29.1361782,425057,-4.34074
598,Matagami,51.3653822,827773,-12.9486
599,Ar Rawnah,71.7967531,954869,6.24557
600,Singabarong,22.8765506,531290,-4.63568
601,Glogovac,15.4614887,844174,-21.48203
602,Luopioinen,29.5552077,240590,14.11057
603,Sairam,88.9138259,396953,-12.24532
604,Gajrug,39.5878935,750600,-1.13886
605,Quinta do Anjo,73.4002239,317068,-5.15396
606,Herrera,15.9062413,755836,18.6439
